Site Name,Serial Number,State Datetime,Press State,Site Name,Site Region,delta time [Min.],State delta time
Testing Center,70001995,07/06/2023 13:04,Standby,Testing Center,EMEA,11.446,0.000331192
Testing Center,70001995,07/06/2023 12:48,Standby,Testing Center,EMEA,2.3072,6.68E-05
Testing Center,70001995,07/06/2023 12:48,Standby,Testing Center,EMEA,3.4976,0.000101204
Testing Center,70001995,07/06/2023 11:27,Standby,Testing Center,EMEA,28.7516,0.000831933
Testing Center,70001996,07/06/2023 11:26,Standby,Testing Center,EMEA,711.7972,0.020595984
Testing Center,70001996,07/06/2023 11:12,Standby,Testing Center,EMEA,149.9416,0.004338588
Testing Center,70001996,07/06/2023 10:07,Standby,Testing Center,EMEA,156.0312,0.004514792
Testing Center,70001995,06/06/2023 22:55,Standby,Testing Center,EMEA,1.3216,3.82E-05
Testing Center,70001995,06/06/2023 22:55,Standby,Testing Center,EMEA,3.4972,0.000101192
Testing Center,70001996,06/06/2023 22:26,Standby,Testing Center,EMEA,1.344,3.89E-05
Testing Center,70001996,06/06/2023 22:26,Standby,Testing Center,EMEA,3.4948,0.000101123
Testing Center,70001995,06/06/2023 22:19,Standby,Testing Center,EMEA,11.728,0.000339352
Testing Center,70001995,06/06/2023 22:15,Standby,Testing Center,EMEA,28.7588,0.000832141
Testing Center,70001996,06/06/2023 21:57,Standby,Testing Center,EMEA,56.4928,0.00163463
Testing Center,70001996,06/06/2023 21:56,Standby,Testing Center,EMEA,22.9184,0.000663148
Testing Center,70001996,06/06/2023 21:55,Standby,Testing Center,EMEA,3.216,9.31E-05
Testing Center,70001996,06/06/2023 21:51,Standby,Testing Center,EMEA,8.5056,0.000246111
Testing Center,70001996,06/06/2023 21:26,Standby,Testing Center,EMEA,500.848,0.01449213
Testing Center,70001995,06/06/2023 20:21,Standby,Testing Center,EMEA,25.9872,0.000751944
Testing Center,70001995,06/06/2023 20:21,Standby,Testing Center,EMEA,3.4976,0.000101204
Testing Center,70001995,06/06/2023 19:17,Standby,Testing Center,EMEA,354.8256,0.010266944
Testing Center,70001995,06/06/2023 19:17,Standby,Testing Center,EMEA,3.4972,0.000101192
Testing Center,70001996,06/06/2023 19:04,Standby,Testing Center,EMEA,691.7776,0.020016713
Testing Center,70001996,06/06/2023 19:04,Standby,Testing Center,EMEA,3.498,0.000101215
Testing Center,70001995,06/06/2023 18:24,Standby,Testing Center,EMEA,12.208,0.000353241
Testing Center,70001995,06/06/2023 18:02,Standby,Testing Center,EMEA,70.7584,0.002047407
Testing Center,70001996,06/06/2023 17:28,Standby,Testing Center,EMEA,49.8492,0.001442396
Testing Center,70001995,06/06/2023 17:06,Standby,Testing Center,EMEA,52.08,0.001506944
Testing Center,70001995,06/06/2023 17:06,Standby,Testing Center,EMEA,3.498,0.000101215
Testing Center,70001995,06/06/2023 15:08,Standby,Testing Center,EMEA,80.3108,0.002323808
Testing Center,70001996,06/06/2023 14:54,Standby,Testing Center,EMEA,271.1216,0.007844954
Testing Center,70001996,06/06/2023 14:41,Standby,Testing Center,EMEA,216.7312,0.006271157
Testing Center,70001995,06/06/2023 14:31,Standby,Testing Center,EMEA,1.1776,3.41E-05
Testing Center,70001995,06/06/2023 14:31,Standby,Testing Center,EMEA,3.4976,0.000101204
Testing Center,70001996,06/06/2023 14:31,Standby,Testing Center,EMEA,143.128,0.004141435
Testing Center,70001996,06/06/2023 14:30,Standby,Testing Center,EMEA,3.498,0.000101215
Testing Center,70001995,06/06/2023 14:19,Standby,Testing Center,EMEA,186.736,0.005403241
Testing Center,70001001,06/06/2023 14:19,Standby,Testing Center,EMEA,3.4912,0.000101019
Testing Center,70001001,06/06/2023 14:19,Standby,Testing Center,EMEA,2.4608,7.12E-05
Testing Center,70001995,06/06/2023 14:12,Standby,Testing Center,EMEA,7.4884,0.000216678
Testing Center,70001995,06/06/2023 14:12,Standby,Testing Center,EMEA,3.4976,0.000101204
Testing Center,70001995,06/06/2023 14:00,Standby,Testing Center,EMEA,37.7056,0.001091019
Testing Center,70001995,06/06/2023 13:46,Standby,Testing Center,EMEA,10.9024,0.000315463
Testing Center,70001995,06/06/2023 13:46,Standby,Testing Center,EMEA,3.4972,0.000101192
Testing Center,70001996,06/06/2023 13:39,Standby,Testing Center,EMEA,3.5968,0.000104074
Testing Center,70001996,06/06/2023 12:53,Standby,Testing Center,EMEA,169.8104,0.004913495
Testing Center,70001995,06/06/2023 12:31,Standby,Testing Center,EMEA,14.6076,0.000422674
Testing Center,70001995,06/06/2023 12:31,Standby,Testing Center,EMEA,3.994,0.000115567
Testing Center,70001996,06/06/2023 11:51,Standby,Testing Center,EMEA,3.9132,0.000113229
Testing Center,70001996,06/06/2023 11:50,Standby,Testing Center,EMEA,6.5216,0.000188704
Testing Center,70001996,06/06/2023 10:50,Standby,Testing Center,EMEA,3.168,9.17E-05
Testing Center,70001996,06/06/2023 10:50,Standby,Testing Center,EMEA,3.4972,0.000101192
Testing Center,70001996,06/06/2023 10:37,Standby,Testing Center,EMEA,37.3212,0.001079896
Testing Center,70001001,06/06/2023 10:02,Standby,Testing Center,EMEA,5285.786,0.152945197
Testing Center,70001001,06/06/2023 10:02,Standby,Testing Center,EMEA,2.4288,7.03E-05
Testing Center,70001996,06/06/2023 9:38,Standby,Testing Center,EMEA,15.5708,0.000450544
Testing Center,70001995,06/06/2023 9:30,Standby,Testing Center,EMEA,85.6096,0.00247713
Testing Center,70001001,06/06/2023 9:05,Standby,Testing Center,EMEA,578.892,0.016750347
Testing Center,70001995,05/06/2023 21:14,Standby,Testing Center,EMEA,243.4688,0.007044815
Testing Center,70001995,05/06/2023 21:14,Standby,Testing Center,EMEA,3.4972,0.000101192
Testing Center,70001995,05/06/2023 20:45,Standby,Testing Center,EMEA,135.0052,0.0039064
Testing Center,70001995,05/06/2023 20:41,Standby,Testing Center,EMEA,33.0236,0.000955544
Testing Center,70001995,05/06/2023 20:41,Standby,Testing Center,EMEA,3.4948,0.000101123
Testing Center,70001995,05/06/2023 20:20,Standby,Testing Center,EMEA,5.4624,0.000158056
Testing Center,70001995,05/06/2023 17:42,Standby,Testing Center,EMEA,7.6764,0.000222118
Testing Center,70001995,05/06/2023 12:13,Standby,Testing Center,EMEA,16.4136,0.000474931
Testing Center,70001995,05/06/2023 10:58,Standby,Testing Center,EMEA,517.3888,0.014970741
Testing Center,70001996,04/06/2023 12:14,Standby,Testing Center,EMEA,50.0828,0.001449155
Testing Center,70001995,04/06/2023 12:00,Standby,Testing Center,EMEA,265.1164,0.007671192
Testing Center,70001995,04/06/2023 11:59,Standby,Testing Center,EMEA,3.4972,0.000101192
Testing Center,70001996,04/06/2023 10:49,Standby,Testing Center,EMEA,30.4124,0.000879988
Testing Center,70001996,04/06/2023 9:05,Standby,Testing Center,EMEA,144.4564,0.004179873
Testing Center,70001996,04/06/2023 8:37,Standby,Testing Center,EMEA,6.218,0.000179919
Testing Center,70001995,04/06/2023 8:36,Standby,Testing Center,EMEA,9.13,0.000264178
Testing Center,70001995,08/06/2023 23:12,Service,Testing Center,EMEA,613.4928,0.017751528
Testing Center,70001995,08/06/2023 23:12,Service,Testing Center,EMEA,0.0448,1.30E-06
Testing Center,70001996,08/06/2023 23:11,Service,Testing Center,EMEA,498.8928,0.014435556
Testing Center,70001996,08/06/2023 23:11,Service,Testing Center,EMEA,0.0512,1.48E-06
Testing Center,70001995,08/06/2023 23:07,Service,Testing Center,EMEA,9.9648,0.000288333
Testing Center,70001995,08/06/2023 23:07,Service,Testing Center,EMEA,0.032,9.26E-07
Testing Center,70001995,08/06/2023 20:37,Service,Testing Center,EMEA,68.4416,0.00198037
Testing Center,70001995,08/06/2023 20:37,Service,Testing Center,EMEA,0.032,9.26E-07
Testing Center,70001995,08/06/2023 20:16,Service,Testing Center,EMEA,150.3612,0.004350729
Testing Center,70001995,08/06/2023 20:16,Service,Testing Center,EMEA,0.0576,1.67E-06
Testing Center,70001996,08/06/2023 19:44,Service,Testing Center,EMEA,197.6816,0.005719954
Testing Center,70001996,08/06/2023 19:44,Service,Testing Center,EMEA,0.0512,1.48E-06
Testing Center,70001995,08/06/2023 19:33,Service,Testing Center,EMEA,581.3592,0.016821736
Testing Center,70001995,08/06/2023 19:33,Service,Testing Center,EMEA,0.0512,1.48E-06
Testing Center,70001996,08/06/2023 18:05,Service,Testing Center,EMEA,37.0428,0.00107184
Testing Center,70001996,08/06/2023 18:05,Service,Testing Center,EMEA,0.048,1.39E-06
Testing Center,70001995,08/06/2023 17:44,Service,Testing Center,EMEA,118.8124,0.003437859
Testing Center,70001995,08/06/2023 17:44,Service,Testing Center,EMEA,0.0288,8.33E-07
Testing Center,70001001,08/06/2023 17:33,Service,Testing Center,EMEA,91400.25,2.64468316
Testing Center,70001001,08/06/2023 17:33,Service,Testing Center,EMEA,0.0256,7.41E-07
Testing Center,70001996,08/06/2023 15:54,Service,Testing Center,EMEA,65.6824,0.001900532
Testing Center,70001996,08/06/2023 15:54,Service,Testing Center,EMEA,0.0352,1.02E-06
Testing Center,70001995,08/06/2023 14:54,Service,Testing Center,EMEA,19.8016,0.000572963
Testing Center,70001995,08/06/2023 14:54,Service,Testing Center,EMEA,0.0416,1.20E-06
Testing Center,70001996,08/06/2023 14:02,Service,Testing Center,EMEA,480.2792,0.013896968
Testing Center,70001996,08/06/2023 14:02,Service,Testing Center,EMEA,0.0416,1.20E-06
Testing Center,70001995,08/06/2023 13:40,Service,Testing Center,EMEA,42.56,0.001231481
Testing Center,70001995,08/06/2023 13:40,Service,Testing Center,EMEA,0.048,1.39E-06
Testing Center,70001995,08/06/2023 13:37,Service,Testing Center,EMEA,27.8816,0.000806759
Testing Center,70001995,08/06/2023 13:37,Service,Testing Center,EMEA,0.0256,7.41E-07
Testing Center,70001995,08/06/2023 13:14,Service,Testing Center,EMEA,491.4424,0.014219977
Testing Center,70001995,08/06/2023 13:14,Service,Testing Center,EMEA,0.0416,1.20E-06
